0.023,-100,67.91,0.402,-92.09,356.29,2.031
0.037,-95,74.365,0.438,-87.17,359.26,2.004
0.056,-90,80.794,0.474,-82.25,362.25,1.98
0.083,-85,87.209,0.509,-77.32,365.25,1.958
0.119,-80,93.618,0.542,-72.4,368.25,1.937
0.169,-75,100.03,0.575,-67.48,371.25,1.919
0.235,-70,106.45,0.607,-62.56,374.25,1.902
0.321,-65,112.89,0.638,-57.64,377.24,1.887
0.43,-60,119.34,0.669,-52.72,380.21,1.873
0.567,-55,125.82,0.699,-47.81,383.16,1.86
0.738,-50,132.33,0.728,-42.89,386.08,1.848
0.948,-45,138.87,0.757,-37.98,388.96,1.837
1.013,-43.63,140.67,0.765,-36.63,389.75,1.834
1.203,-40,145.45,0.786,-33.07,391.81,1.827
1.508,-35,152.07,0.814,-28.16,394.61,1.818
1.871,-30,158.74,0.841,-23.25,397.36,1.809
2.299,-25,165.46,0.868,-18.34,400.05,1.802
2.799,-20,172.24,0.895,-13.44,402.68,1.794
3.379,-15,179.07,0.922,-8.54,405.24,1.787
4.047,-10,185.97,0.948,-3.65,407.71,1.781
4.81,-5,192.95,0.974,1.24,410.1,1.775
5.679,0,200,1,6.12,412.39,1.769
6.66,5,207.14,1.026,11,414.58,1.764
7.764,10,214.37,1.051,15.87,416.64,1.758
9,15,221.71,1.076,20.74,418.56,1.753
10.376,20,229.16,1.102,25.59,420.34,1.748
11.903,25,236.74,1.127,30.44,421.94,1.742
13.591,30,244.46,1.152,35.27,423.34,1.737
15.45,35,252.34,1.177,40.09,424.52,1.731
17.49,40,260.4,1.203,44.9,425.44,1.726
19.723,45,268.67,1.228,49.68,426.05,1.719
22.16,50,277.19,1.254,54.45,426.29,1.712
24.812,55,285.99,1.28,59.19,426.09,1.704
27.692,60,295.16,1.307,63.9,425.33,1.695
30.814,65,304.81,1.335,68.58,423.83,1.685
34.189,70,315.12,1.364,73.19,421.29,1.672
37.83,75,326.48,1.395,77.72,417.15,1.655
41.738,80,339.84,1.432,82.1,409.99,1.63
